Workflow,State,Permission,Roles
urban_licence_workflow,accepted,Review portal content,"Reviewer, Manager"
urban_licence_workflow,accepted,Modify portal content,"Editor, Contributor, Manager"
urban_licence_workflow,accepted,Acces contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,accepted,Modify view template,Manager
urban_licence_workflow,accepted,Delete objects,"Editor, Contributor, Manager"
urban_licence_workflow,accepted,Add portal content,"Editor, Contributor, Manager"
urban_licence_workflow,accepted,Manage properties,"Contributor, Editor, Manager"
urban_licence_workflow,accepted,Access contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,accepted,View,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,retired,Review portal content,"Reviewer, Manager"
urban_licence_workflow,retired,Modify portal content,"Editor, Contributor, Manager"
urban_licence_workflow,retired,Acces contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,retired,Modify view template,Manager
urban_licence_workflow,retired,Delete objects,"Editor, Contributor, Manager"
urban_licence_workflow,retired,Add portal content,"Editor, Contributor, Manager"
urban_licence_workflow,retired,Manage properties,"Contributor, Editor, Manager"
urban_licence_workflow,retired,Access contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,retired,View,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,incomplete,Review portal content,"Reviewer, Contributor, Manager"
urban_licence_workflow,incomplete,Modify portal content,"Editor, Contributor, Manager"
urban_licence_workflow,incomplete,Acces contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,incomplete,Modify view template,Manager
urban_licence_workflow,incomplete,Delete objects,"Editor, Contributor, Manager"
urban_licence_workflow,incomplete,Add portal content,"Editor, Contributor, Manager"
urban_licence_workflow,incomplete,Manage properties,"Contributor, Editor, Manager"
urban_licence_workflow,incomplete,Access contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,incomplete,View,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,refused,Review portal content,"Reviewer, Manager"
urban_licence_workflow,refused,Modify portal content,"Editor, Contributor, Manager"
urban_licence_workflow,refused,Acces contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,refused,Modify view template,Manager
urban_licence_workflow,refused,Delete objects,"Editor, Contributor, Manager"
urban_licence_workflow,refused,Add portal content,"Editor, Contributor, Manager"
urban_licence_workflow,refused,Manage properties,"Contributor, Editor, Manager"
urban_licence_workflow,refused,Access contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,refused,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,accepted,Review portal content,"Reviewer, Manager"
env_licence_workflow,accepted,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,accepted,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,accepted,Modify view template,Manager
env_licence_workflow,accepted,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,accepted,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,accepted,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,accepted,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,accepted,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,accepted,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,retired,Review portal content,"Reviewer, Manager"
env_licence_workflow,retired,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,retired,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,retired,Modify view template,Manager
env_licence_workflow,retired,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,retired,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,retired,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,retired,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,retired,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,retired,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,complete,Review portal content,"Reviewer, Manager"
env_licence_workflow,complete,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,complete,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,complete,Modify view template,Manager
env_licence_workflow,complete,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,complete,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,complete,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,complete,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,complete,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,complete,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Review portal content,"Reviewer, Manager"
env_licence_workflow,final_decision_in_progress,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Modify view template,Manager
env_licence_workflow,final_decision_in_progress,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,final_decision_in_progress,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,final_decision_in_progress,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Review portal content,"Reviewer, Manager"
env_licence_workflow,inacceptable,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Modify view template,Manager
env_licence_workflow,inacceptable,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,inacceptable,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,inacceptable,Access contents information,"Reader, Editor, Contributor, Manager"
